menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count
간장꽃게장정식|꽃게,간장꽃게장정식,간장꽃게장정식,꽃게,1,N,Y,해산물,식사,0.85,rule,9;10,전남 목포시,1
갈치 조림|갈치,갈치 조림,갈치 조림,갈치,2,N,N,해산물,식사,0.7,rule,7;8;9,전남 목포시;전남 여수시,2
갈치구이|갈치,갈치구이,갈치구이,갈치,0,N,N,해산물,식사,0.85,rule,7;8;9,전남 목포시;전남 여수시;전남 화순군,8
갈치정식|갈치,갈치정식,갈치정식,갈치,1,N,N,해산물,식사,0.85,rule,7;8;9,전남 화순군;전남 해남군,2
갈치조림|갈치,갈치조림,갈치조림,갈치,2,N,N,해산물,식사,0.85,rule,7;8;9,전남 광양시;전남 구례군;전남 신안군;전남 여수시;전남 진도군;전남 해남군;전남 화순군;광주 서구;전남 장성군,42
갈치조림+돌게장정식|갈치,갈치조림+돌게장정식,갈치조림+돌게장정식,갈치,2,N,N,해산물,식사,0.85,rule,7;8;9,전남 여수시,2
갈치찜|갈치,갈치찜,갈치찜,갈치,2,N,N,해산물,식사,0.85,rule,7;8;9,전남 목포시,3
갈치찜 / 갈치구이|갈치,갈치찜 / 갈치구이,갈치찜 / 갈치구이,갈치,2,N,N,해산물,식사,0.85,rule,7;8;9,전남 목포시,1
갈치회|갈치,갈치회,갈치회,갈치,0,N,Y,해산물,식사,0.85,rule,7;8;9,전남 여수시,2
갈치회무침|갈치,갈치회무침 정식 등,갈치회무침,갈치,2,N,Y,해산물,식사,0.85,rule,7;8;9,전남 여수시,1
갑오징어숙회|갑오징어,갑오징어숙회,갑오징어숙회,갑오징어,0,N,N,해산물,식사,0.85,rule,4;5;6,전남 여수시,1
갓고등어조림|고등어,갓고등어조림,갓고등어조림,고등어,2,N,N,해산물,식사,0.85,rule,9;10;11,전남 여수시,1
갯마을 키조개 샤브샤브 정식|키조개,갯마을 키조개 샤브샤브 정식,갯마을 키조개 샤브샤브 정식,키조개,0,Y,N,해산물,식사,0.85,rule,4;5,전남 장흥군,1
고등어 쌈밥|고등어,고등어 쌈밥,고등어 쌈밥,고등어,1,N,N,해산물,식사,0.85,rule,9;10;11,전남 순천시;광주 동구,2
고등어구이|고등어,고등어구이 등,고등어구이,고등어,0,N,N,해산물,식사,0.85,rule,9;10;11,광주 광산구;전남 여수시;전남 순천시,3
고등어묵은지조림|고등어,고등어묵은지조림,고등어묵은지조림,고등어,2,N,N,해산물,식사,0.85,rule,9;10;11,전남 담양군,1
고등어조림|고등어,고등어조림,고등어조림,고등어,2,N,N,해산물,식사,0.85,rule,9;10;11,광주 북구,1
고추잡채|고추,고추잡채 등,고추잡채,고추,2,N,N,채소,식사,0.85,manual,8,광주 동구,1
고추장 닭구이|고추,고추장 닭구이,고추장 닭구이,고추,2,N,N,육류,식사,0.85,rule,8,전남 광양시,1
골뱅이 죽순 초무침|죽순,골뱅이 죽순 초무침 등,골뱅이 죽순 초무침,죽순,2,Y,N,해산물;채소,식사,0.85,rule,5,전남 담양군,1
곰보배추 돼지고기수육|배추,곰보배추 돼지고기수육 등,곰보배추 돼지고기수육,배추,0,N,N,채소;육류,식사,0.85,rule,11,전남 담양군,1
곰보배추 우렁쌈밥|배추,곰보배추 우렁쌈밥,곰보배추 우렁쌈밥,배추,1,N,N,해산물,식사,0.85,rule,11,전남 담양군,1
곰보배추 죽순우렁이회|배추,곰보배추 죽순우렁이회,곰보배추 죽순우렁이회,배추,0,Y,N,해산물;채소,식사,0.85,rule,11,전남 담양군,1
곰보배추 죽순우렁이회|죽순,곰보배추 죽순우렁이회,곰보배추 죽순우렁이회,죽순,0,Y,N,해산물;채소,식사,0.85,rule,5,전남 담양군,1
굴구이|굴,굴구이,굴구이,굴,0,N,N,해산물,식사,0.85,rule,1;2;11;12,전남 여수시,2
굴떡국|굴,굴떡국,굴떡국,굴,0,Y,N,해산물,식사,0.85,rule,1;2;11;12,전남 여수시,1
굴라면|굴,굴라면,굴라면,굴,2,Y,N,해산물,식사,0.85,rule,1;2;11;12,전남 여수시,1
