menu_key,menu_name,menu_norm,ingredient,spicy,has_soup,is_raw,main_ingredients,course,confidence,source,months,regions,restaurant_count,exclude_category,exclude_reason
꿀딸기아이스크림|딸기,꿀딸기아이스크림,꿀딸기아이스크림,딸기,0,N,N,채소,디저트,0.7,rule,2,광주 광산구,1,디저트,디저트 코스(빙과·젤라또) — 식사용 향토음식이 아님
나주배 양갱|배,나주배 양갱,나주배 양갱,배,0,N,N,채소,디저트,0.7,rule,9;10,전남 나주시,1,디저트,디저트 코스(일본 유래 양갱) — 식사용 향토음식이 아님
나주배쌀빵|배,나주배쌀빵,나주배쌀빵,배,0,N,N,채소,디저트,0.7,rule,9;10,전남 나주시,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
나주배쌀빵|쌀,나주배쌀빵,나주배쌀빵,쌀,0,N,N,채소,디저트,0.7,rule,10;11,전남 나주시,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
나주배파르페|배,나주배파르페,나주배파르페,배,0,N,N,채소,디저트,0.7,rule,9;10,전남 나주시,1,디저트,디저트 코스(양과자 파르페) — 식사용 향토음식이 아님
눈사람 판다 딸기빙수|딸기,눈사람 판다 딸기빙수,눈사람 판다 딸기빙수,딸기,0,N,N,채소,디저트,0.7,rule,2,전남 담양군,1,디저트,디저트 코스(후식 빙수류) — 식사용 향토음식이 아님
단팥앙금빵|팥,단팥앙금빵,단팥앙금빵,팥,0,N,N,채소,디저트,0.7,rule,12,전남 영암군,1,디저트,디저트 코스(제과·제빵류) — 식사용 향토음식이 아님
단호박 깔조네피자|단호박,단호박 깔조네피자 등,단호박 깔조네피자,단호박,0,N,N,채소,디저트,0.7,rule,11,전남 무안군,1,디저트,디저트 코스(서양식 피자) — 식사용 향토음식이 아님
달밑밤샐러드|밤,달밑밤샐러드,달밑밤샐러드,밤,0,N,N,채소,디저트,0.7,rule,12,전남 여수시,1,디저트,디저트 코스(서양식 샐러드) — 식사용 향토음식이 아님
닭가슴살 샐러드|닭가슴살,닭가슴살 샐러드,닭가슴살 샐러드,닭가슴살,0,N,N,육류,디저트,0.7,rule,3;7;8,광주 광산구,1,디저트,디저트 코스(서양식 샐러드) — 식사용 향토음식이 아님
도토리전병|도토리,도토리전병,도토리전병,도토리,0,N,N,채소,디저트,0.85,rule,12,전남 화순군,1,디저트,디저트 코스(전통 과자·떡 후식) — 식사용 향토음식이 아님
