거리명,거리소개,소재지도로명,소재지지번주소,위도,경도,총길이,점포수,지정연도,관리기관전화번호,관리기관명,데이터기준일자,출처_파일명
녹동 음식특화거리,녹동구항 음식거리 일부를 유럽풍의 옥외음식 영업가능 거리로 조성,전라남도 고흥군 도양읍 비봉로 177,전라남도 고흥군 도양읍 봉암리 2786,34.5256702381,127.1357485953,90,12,2017,061-830-5442,전라남도 고흥군청,2023-12-07,전라남도_고흥군_지역특화거리_20231207.csv
순천시 문화의 거리,"천년의 역사를 간직하고 있는 순천시의 영동 행동 금곡동 일원은 1309년 순천 지명이 처음 등장한 이후 현재까지 전남 동부권의 역사. 문화. 교육. 행정의 중심지였다.문화의 거리에는 옛 문화의 정취를 느낄 수 있는 700년 순천부읍성, 순천향교, 임청대 등 다양한 전통문화유산과 100년 전 미국선교사들이 순천에 자리 잡아 만들어진 근대기 마을 등 순천 사람들이 살아왔던 이야기와 풍경들이 있다.1000년을 넘게 이어져온 순천의 이야기는 도심의 현대화, 도시 중심기능 및 상권의 이동에 따라 쇠퇴하게 된다. 순천시는 원도시의 정체성을 되찾고 신시가지와 상생할 수 있는 방안으로 원도심이 가진 풍부한 역사문화자원을 활용하여 ’천년의 역사 문화가 숨 쉬는 거리’ 조성사업을 추진하였다.",전라남도 순천시 금곡길 28 일원,전라남도 순천시 행동 95,34.954948,127.481603,750,110,2008,061-749-6802,전라남도 순천시청 문화예술과,2024-11-19,전라남도_순천시_지역특화거리_20241119.csv
담빛길,"과거 죽물시장에서부터 시작된 죽공예의 전통문화유산, 관방천과 대숲이 어우러지는 생태문화가 공존되어 있는 담양의 원도심 구간",전라남도 담양군 담양읍 객사3길 1,전라남도 담양군 담양읍 객사리 194-3,35.3231512206,126.9814434138,1000,20,2016,061-380-2802,전라남도 담양군청,2022-09-30,전라남도_담양군_지역특화거리_20220930.csv
국동 장어탕 횟집거리,장어탕 횟집 특화음식,전라남도 여수시 어항단지로 13,전라남도 여수시 국동 1082-7,34.725235,127.7128137,407,8,2009,061-659-4238,전라남도 여수시청,2025-04-16,전라남도_여수시_지역특화거리_20250416.csv
봉산동 게장백반거리,간장게장 양념게장 특화음식,전라남도 여수시 봉산남4길 12,전라남도 여수시 봉산동 282-10,34.732763,127.7199388863,180,11,2009,061-659-4238,전라남도 여수시청,2025-04-16,전라남도_여수시_지역특화거리_20250416.csv
좌수영 음식문화거리,장어탕 서대회 특화음식,전라남도 여수시 중앙로 72-16,전라남도 여수시 중앙동 775,34.739714,127.735486,276,35,2020,061-659-4238,전라남도 여수시청,2025-04-16,전라남도_여수시_지역특화거리_20250416.csv
덕양 곱창거리,곱창 막창구이 특화음식,전라남도 여수시 소라면 하세동길 8-1,전라남도 여수시 소라면 덕양리 1277,34.7978101813,127.6316832973,82,14,2020,061-659-4238,전라남도 여수시청,2025-04-16,전라남도_여수시_지역특화거리_20250416.csv
학동 선소 퓨전 음식거리,한식 양식 일식 퓨전 특화음식,전라남도 여수시 시청동3길 3,전라남도 여수시 학동 85-12,34.759503,127.666023,287,43,2020,061-659-4238,전라남도 여수시청,2025-04-16,전라남도_여수시_지역특화거리_20250416.csv
해양공원 해물삼합거리,해물삼합 특화음식,전라남도 여수시 이순신광장로 137,전라남도 여수시 중앙동 266,34.737881,127.7390644727,895,61,2020,061-659-4238,전라남도 여수시청,2025-04-16,전라남도_여수시_지역특화거리_20250416.csv
함평천지 한우비빔밥 음식테마거리,1900년 초부터 함평 우시장을 중심으로 발달해 온 한우비빔밥을 주메뉴로 한 식당이 밀집되어 있는 거리,전라남도 함평군 함평읍 시장길(5일시장 내),전라남도 함평군 함평읍 기각리 998-11,,,420,14,2014,061-320-1641,전라남도 함평군청,2025-07-01,전라남도_함평군_지역특화거리_20250701.csv
나비특화거리,"함평천지, 나비가 날다라는 주제로 함평읍 골목경제 회복 지원 및 야경경관 활성화를 위해 조성된 거리",전라남도 함평군 함평읍 중앙길(터미널~중앙약국),전라남도 함평군 함평읍 내교리 804-12,35.0617053886,126.519520587,400,233,2025,061-320-1732,전라남도 함평군청,2025-07-01,전라남도_함평군_지역특화거리_20250701.csv
영광 법성포 굴비거리,굴비 식당과 판매점이 있는 거리,전라남도 영광군 법성면 굴비로,전라남도 영광군 법성면 법성리,35.359484,126.445767,2600,352,2021,061-350-5428,전라남도 영광군청,2025-11-28,전라남도_영광군_지역특화거리_20251128.csv
백양사 먹거리타운,"봄에는 벚꽃이, 여름에는 신록이, 가을에는 단풍이, 겨울에는 설경이 아름다운 백양사 일원에 황금밥상(연잎밥, 황금두부, 쌈밥 등) 거리 조성",전라남도 장성군 북하면 백양로,,35.427976,126.879276,400,14,1990,061-390-7343,전라남도 장성군청,2024-06-02,전라남도_장성군_지역특화거리_20240602.csv
장성호 미락단지,"장성호 하류의 미락단지는 조선시대부터 민물고기 전문요리가 이어져 왔으며 메기탕, 메기찜, 빠가탕 등이 유명하다",전라남도 장성군 장성읍 미락단지길,,35.343484,126.816809,1000,13,2000,061-390-7343,전라남도 장성군청,2024-06-02,전라남도_장성군_지역특화거리_20240602.csv
장성읍 먹거리타운,남도 어머니의 손맛이 느껴지는 애호박찌개는 두툼하게 썬 애호박 특유의 향과 아삭함이 매력적임,전라남도 장성군 장성읍 청운길,,35.299882,126.780184,380,20,2000,061-390-7343,전라남도 장성군청,2024-06-02,전라남도_장성군_지역특화거리_20240602.csv
소설 태백산맥 문학기행길,"소설 태백산맥의 배경지인 벌교읍 소재지를 무대로 소설 속 등장하는 적산가옥, 중도방죽 등으로 구성된 문학기행 길",전라남도 보성군 벌교읍 태백산맥길,전라남도 보성군 벌교읍 벌교리 640-2,34.843846,127.3432884,8000,13,2012,061-850-5212,전라남도 보성군청 문화관광실,2025-08-27,전라남도_보성군_지역특화거리_20250827.csv
월곡동세계음식문화거리,다양한 국적의 음식점들이 한데 모인 세계문화음식테마거리,광주광역시 광산구 산정공원로,광주광역시 광산구 산정동 945-1,35.1719489,126.8039184,549,16,2019,062-960-4251,광주광역시 광산구청,2026-02-05,광주광역시_광산구_지역특화거리_20260205.csv
무안뻘낙지거리,"무안 세발낙지는 갯벌과 황토가 어우러진 환경에서 자라 영양도 좋고 육질이 쫄깃하고 맛이 깊습니다. 무안뻘낙지거리에는 다양한 낙지 요리 전문점이 모여 있어, 낙지탕탕이, 낙지비빔밥, 낙지볶음, 낙지연포탕 등 다채로운 낙지 요리를 맛볼 수 있습니다. 싱싱한 낙지의 풍미를 제대로 느낄 수 있는 곳, 남도의 깊은 맛을 경험하고 싶다면 무안뻘낙지거리로 오세요.",전라남도 무안군 무안읍 성남1길 172,전라남도 무안군 무안읍 성남리 208,34.98731526,126.4771641,300,20,2018,061-450-5018,무안군보건소,2026-04-10,전라남도_무안군_지역특화거리_20260410.csv
광양불고기 특화거리,광양숯불구이 축제가 열리는 서천변 일대 특화거리,전라남도 광양시 서천1길,전라남도 광양시 광양읍 칠성리 983,34.96947056,127.579099,792,48,2011,061-797-4143,전라남도 광양시청,2026-06-12,전라남도_광양시_지역특화거리_20260612 (1).csv
이순신대교 먹거리타운,이순신 대교 일대의 먹거리 타운,전라남도 광양시 발섬6길,전라남도 광양시 중동 1798,34.93485642,127.6999269,624,130,2013,061-797-4143,전라남도 광양시청,2026-06-12,전라남도_광양시_지역특화거리_20260612 (1).csv
진월망덕포구 먹거리타운,광양전어 축제가 열리는 망덕 포구 일대의 먹거리 타운,전라남도 광양시 진월면 망덕길,전라남도 광양시 진월면 망덕리 845-82,34.96787088,127.7579265,1417,16,2015,061-797-4143,전라남도 광양시청,2026-06-12,전라남도_광양시_지역특화거리_20260612 (1).csv
사후면세점 특화거리,"목포상권에 중국관광객을 유치하기 위해 목포역 인근 차 없는 거리를 중심으로 집단 사후면세점 지정, 쇼핑지도 제작, 중국어 안내판 정비, 상설이벤트 진행 등 쇼핑 특화거리를 조성",전라남도 목포시 영산로 93,전라남도 목포시명륜동 6-16,,,47700,33,2015,061-270-3541,전라남도 목포시청,2025-03-17,전라남도_목포시_지역특화거리_20250317.csv
